(title "Wall Shear Stress")
(labels "Position" "Wall Shear Stress")

((xy/key/label "airfoil_wall")
-0.766904	2.83288
-0.768526	2.82598
-0.770148	2.81901
-0.77177	2.81056
-0.773392	2.80197
-0.775014	2.79382
-0.776636	2.78588
-0.778258	2.77797
-0.77988	2.77
-0.781501	2.76201
-0.783123	2.75405
-0.784745	2.74609
-0.786366	2.73804
-0.787988	2.72992
-0.78961	2.72162
-0.791231	2.71312
-0.792853	2.70455
-0.794474	2.69601
-0.796095	2.68758
-0.797717	2.67934
-0.799338	2.67126
-0.800959	2.66324
-0.80258	2.6552
-0.804202	2.64701
-0.805823	2.63864
-0.807444	2.63015
-0.809065	2.62156
-0.810686	2.61297
-0.812307	2.60441
-0.813928	2.59575
-0.815549	2.5869
-0.817169	2.57791
-0.81879	2.56889
-0.820411	2.5599
-0.822032	2.55095
-0.823652	2.54212
-0.825273	2.53327
-0.826894	2.52424
-0.828514	2.51498
-0.830135	2.50555
-0.831755	2.4961
-0.833375	2.48669
-0.834996	2.4773
-0.836616	2.46791
-0.838236	2.45842
-0.839857	2.44877
-0.841477	2.43898
-0.843097	2.42897
-0.844717	2.41882
-0.846337	2.40862
-0.847957	2.39839
-0.849577	2.38818
-0.851197	2.37794
-0.852817	2.36773
-0.854436	2.35752
-0.856056	2.34718
-0.857676	2.33677
-0.859295	2.32622
-0.860915	2.31558
-0.862535	2.30491
-0.864154	2.29413
-0.865774	2.28316
-0.867393	2.27195
-0.869012	2.2606
-0.870632	2.24922
-0.872251	2.23779
-0.87387	2.22639
-0.875489	2.21501
-0.877109	2.20357
-0.878728	2.19194
-0.880347	2.18009
-0.881966	2.16806
-0.883585	2.15578
-0.885204	2.14333
-0.886822	2.13086
-0.888441	2.1183
-0.89006	2.10558
-0.891679	2.09272
-0.893297	2.07968
-0.894916	2.06643
-0.896534	2.05305
-0.898153	2.03956
-0.899771	2.02593
-0.90139	2.01211
-0.903008	1.99812
-0.904626	1.98397
-0.906244	1.96973
-0.907863	1.95536
-0.909481	1.94083
-0.911099	1.92617
-0.912717	1.91136
-0.914335	1.89635
-0.915953	1.88114
-0.917571	1.86572
-0.919188	1.85009
-0.920806	1.83421
-0.922424	1.818
-0.924041	1.8014
-0.925659	1.78444
-0.927276	1.76718
-0.928894	1.74977
-0.930511	1.73225
-0.932129	1.71453
-0.933746	1.69649
-0.935363	1.67813
-0.93698	1.65955
-0.938598	1.64081
-0.940215	1.62188
-0.941832	1.60267
-0.943448	1.58309
-0.945065	1.56317
-0.946682	1.54293
-0.948299	1.52243
-0.949916	1.5015
-0.951532	1.4805
-0.953149	1.45878
-0.954765	1.43613
-0.956382	1.41394
-0.957998	1.39228
-0.959615	1.36801
-0.961231	1.34216
-0.962847	1.31848
-0.964463	1.2927
-0.966079	1.26588
-0.967695	1.24356
-0.969311	1.21618
-0.970927	1.18549
-0.972543	1.15764
-0.974159	1.12869
-0.975775	1.0996
-0.97739	1.06902
-0.979006	1.03656
-0.980621	1.00362
-0.982237	0.968517
-0.983852	0.93307
-0.985468	0.892358
-0.987083	0.853485
-0.988698	0.806087
-0.990313	0.763087
-0.991928	0.698505
-0.993543	0.647059
-0.995158	0.584891
-0.996773	0.507555
-0.998387	0.63861
-1	1.23356
-0.998387	1.61648
-0.996773	1.44708
-0.995158	1.4744
-0.993543	1.60823
-0.991928	1.67003
-0.990313	1.74565
-0.988698	1.79526
-0.987083	1.84704
-0.985468	1.88876
-0.983852	1.92953
-0.982237	1.96824
-0.980621	2.00348
-0.979006	2.03648
-0.97739	2.06661
-0.975775	2.09631
-0.974159	2.12443
-0.972543	2.15455
-0.970927	2.18233
-0.969311	2.20353
-0.967695	2.22105
-0.966079	2.24467
-0.964463	2.26806
-0.962847	2.28644
-0.961231	2.31265
-0.959615	2.3354
-0.957998	2.35352
-0.956382	2.3749
-0.954765	2.39457
-0.953149	2.41175
-0.951532	2.42905
-0.949916	2.44566
-0.948299	2.46194
-0.946682	2.47786
-0.945065	2.49338
-0.943448	2.50841
-0.941832	2.52307
-0.940215	2.53742
-0.938598	2.5515
-0.93698	2.56539
-0.935363	2.57908
-0.933746	2.59254
-0.932129	2.60568
-0.930511	2.61845
-0.928894	2.63084
-0.927276	2.6428
-0.925659	2.65444
-0.924041	2.6659
-0.922424	2.67727
-0.920806	2.68848
-0.919188	2.69944
-0.917571	2.7101
-0.915953	2.72057
-0.914335	2.73102
-0.912717	2.74141
-0.911099	2.75159
-0.909481	2.7615
-0.907863	2.77126
-0.906244	2.781
-0.904626	2.79073
-0.903008	2.80043
-0.90139	2.80998
-0.899771	2.81923
-0.898153	2.82815
-0.896534	2.83683
-0.894916	2.84537
-0.893297	2.85377
-0.891679	2.86206
-0.89006	2.87029
-0.888441	2.87846
-0.886822	2.88666
-0.885204	2.89501
-0.883585	2.90343
-0.881966	2.9116
-0.880347	2.91932
-0.878728	2.92654
-0.877109	2.93352
-0.875489	2.94072
-0.87387	2.94831
-0.872251	2.95619
-0.870632	2.96416
-0.869012	2.97201
-0.867393	2.97956
-0.865774	2.9867
-0.864154	2.99348
-0.862535	3.00005
-0.860915	3.00667
-0.859295	3.0134
-0.857676	3.02017
-0.856056	3.02696
-0.854436	3.03374
-0.852817	3.04049
-0.851197	3.04712
-0.849577	3.05347
-0.847957	3.05954
-0.846337	3.06548
-0.844717	3.07145
-0.843097	3.07768
-0.841477	3.08415
-0.839857	3.09064
-0.838236	3.09705
-0.836616	3.10339
-0.834996	3.10984
-0.833375	3.11638
-0.831755	3.12285
-0.830135	3.12926
-0.828514	3.13546
-0.826894	3.14135
-0.825273	3.147
-0.823652	3.15241
-0.822032	3.15768
-0.820411	3.16298
-0.81879	3.1683
-0.817169	3.17363
-0.815549	3.17908
-0.813928	3.18468
-0.812307	3.19033
-0.810686	3.19595
-0.809065	3.20149
-0.807444	3.207
-0.805823	3.2125
-0.804202	3.21807
-0.80258	3.22371
-0.800959	3.22935
-0.799338	3.23484
-0.797717	3.24008
-0.796095	3.2452
-0.794474	3.25033
-0.792853	3.25549
-0.791231	3.2607
-0.78961	3.26606
-0.787988	3.27153
-0.786366	3.27684
-0.784745	3.28182
