(title "Pressure Coefficient")
(labels "Position" "Pressure Coefficient")

((xy/key/label "airfoil_wall")
-0.0235226	0.521207
-0.013164	0.748323
-0.00422662	0.883918
5.42101e-20	0.336784
-0.00422662	-0.783012
-0.013164	-1.39768
-0.0235226	-1.3575
-0.0343808	-1.27643
-0.0454303	-1.20275
-0.0565423	-1.11513
-0.0676494	-1.08249
-0.0787153	-1.04447
-0.0897178	-1.01147
-0.100642	-0.965171
-0.11148	-0.940209
-0.122223	-0.914808
-0.132869	-0.879647
-0.143414	-0.863363
-0.153855	-0.86051
-0.164192	-0.834867
-0.174423	-0.794676
-0.184549	-0.784313
-0.194569	-0.777206
-0.204482	-0.753397
-0.214291	-0.733084
-0.223994	-0.727926
-0.233592	-0.705916
-0.243087	-0.685326
-0.252478	-0.671029
-0.261767	-0.662786
-0.270955	-0.65113
-0.280041	-0.636156
-0.289028	-0.625014
-0.297916	-0.609632
-0.306705	-0.596283
-0.315398	-0.591531
-0.323994	-0.577994
-0.332496	-0.577326
-0.340903	-0.550762
-0.349217	-0.528536
-0.357439	-0.522191
-0.365569	-0.505595
-0.373609	-0.509017
-0.38156	-0.50696
-0.389423	-0.497483
-0.397198	-0.474198
-0.404887	-0.466191
-0.41249	-0.471126
-0.420008	-0.46605
-0.427443	-0.455741
-0.434795	-0.441484
-0.442066	-0.433364
-0.449255	-0.430273
-0.456365	-0.421153
-0.463395	-0.415155
-0.470348	-0.412081
-0.477222	-0.407496
-0.484021	-0.402312
-0.490744	-0.393451
-0.497391	-0.385849
-0.503965	-0.383028
-0.510466	-0.371793
-0.516895	-0.368141
-0.523252	-0.360644
-0.529538	-0.346498
-0.535755	-0.354715
-0.541902	-0.339906
-0.547981	-0.331903
-0.553992	-0.336364
-0.559937	-0.326543
-0.565815	-0.310946
-0.571629	-0.306495
-0.577377	-0.309663
-0.583062	-0.308459
-0.588683	-0.301185
-0.594242	-0.295938
-0.59974	-0.293353
-0.605176	-0.278264
-0.610552	-0.28119
-0.615868	-0.281858
-0.621125	-0.273638
-0.626324	-0.267378
-0.631465	-0.26191
-0.636548	-0.259473
-0.641576	-0.25578
-0.646547	-0.249072
-0.651464	-0.243881
-0.656326	-0.241524
-0.661134	-0.237127
-0.665888	-0.230876
-0.67059	-0.224174
-0.675239	-0.222161
-0.679837	-0.218655
-0.684384	-0.212676
-0.688881	-0.210538
-0.693327	-0.204273
-0.697725	-0.200758
-0.702073	-0.199451
-0.706373	-0.194354
-0.710626	-0.190846
-0.714831	-0.189218
-0.71899	-0.185381
-0.723103	-0.180286
-0.72717	-0.177436
-0.731191	-0.173307
-0.735169	-0.169418
-0.739102	-0.166325
-0.742991	-0.162086
-0.746838	-0.157858
-0.750642	-0.153106
-0.754403	-0.15137
-0.758123	-0.148778
-0.761802	-0.14488
-0.76544	-0.140492
